city	macroregion
BOM JARDIM DA SERRA	Mountain Range
BOM RETIRO	Mountain Range
CAMPO BELO DO SUL	Mountain Range
CAPAO ALTO	Mountain Range
CELSO RAMOS	Mountain Range
CERRO NEGRO	Mountain Range
CORREIA PINTO	Mountain Range
LAGES	Mountain Range
OTACILIO COSTA	Mountain Range
PAINEL	Mountain Range
PALMEIRA	Mountain Range
RIO RUFINO	Mountain Range
SAO JOAQUIM	Mountain Range
SAO JOSE DO CERRITO	Mountain Range
URUBICI	Mountain Range
URUPEMA	Mountain Range
AGRONOMICA	Itajai Valley
PETROLANDIA	Itajai Valley
AGROLANDIA	Itajai Valley
AURORA	Itajai Valley
BRACO DO TROMBUDO	Itajai Valley
DONA EMMA	Itajai Valley
IBIRAMA	Itajai Valley
JOSE BOITEUX	Itajai Valley
LAURENTINO	Itajai Valley
LONTRAS	Itajai Valley
MIRIM DOCE	Itajai Valley
POUSO REDONDO	Itajai Valley
PRESIDENTE GETULIO	Itajai Valley
PRESIDENTE NEREU	Itajai Valley
RIO DO CAMPO	Itajai Valley
RIO DO OESTE	Itajai Valley
RIO DO SUL	Itajai Valley
SALETE	Itajai Valley
TAIO	Itajai Valley
TROMBUDO CENTRAL	Itajai Valley
VITOR MEIRELES	Itajai Valley
WITMARSUM	Itajai Valley
APIUNA	Itajai Valley
ASCURRA	Itajai Valley
BENEDITO NOVO	Itajai Valley
BLUMENAU	Itajai Valley
BLUMENAL	Itajai Valley
BOTUVERA	Itajai Valley
BRUSQUE	Itajai Valley
DOUTOR PEDRINHO	Itajai Valley
GASPAR	Itajai Valley
GUABIRUBA	Itajai Valley
INDAIAL	Itajai Valley
LUIZ ALVES	Itajai Valley
POMERODE	Itajai Valley
RIO DOS CEDROS	Itajai Valley
RODEIO	Itajai Valley
TIMBO	Itajai Valley
BALNEARIO CAMBORIU	Itajai Valley
BALNEARIO CAMBURIU	Itajai Valley
BALNEARIO PICARRAS	Itajai Valley
BARRA VELHA	Itajai Valley
BOMBINHAS	Itajai Valley
CAMBORIU	Itajai Valley
ILHOTA	Itajai Valley
ITAJAI	Itajai Valley
ITAPEMA	Itajai Valley
NAVEGANTES	Itajai Valley
PENHA	Itajai Valley
PORTO BELO	Itajai Valley
SAO JOAO DO ITAPERIU	Itajai Valley
AGROLANDIA	Itajai Valley
ATALANTA	Itajai Valley
CHAPADAO DO LAGEADO	Itajai Valley
IMBUIA	Itajai Valley
